City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
302,Saint-Pierre,-21.3393,55.4781,clear sky,73.08,68,0,6.91,RE
303,Vestmannaeyjar,63.4427,-20.2734,overcast clouds,45.0,90,100,24.07,IS
304,Kumluca,36.3703,30.2869,clear sky,63.1,53,5,5.61,TR
305,Pacific Grove,36.6177,-121.9166,clear sky,69.39,71,0,17.0,US
306,Inuvik,68.3499,-133.7218,few clouds,43.66,52,20,8.05,CA
307,Seia,40.4151,-7.7086,overcast clouds,57.51,41,100,2.82,PT
308,Te Anau,-45.4167,167.7167,overcast clouds,58.06,95,100,2.77,NZ
309,Cidreira,-30.1811,-50.2056,clear sky,63.01,74,0,8.32,BR
310,Dembi Dolo,8.5333,34.8,broken clouds,59.92,84,77,3.09,ET
311,Mount Gambier,-37.8333,140.7667,overcast clouds,49.91,87,100,5.75,AU
312,Alta Floresta,-9.8756,-56.0861,scattered clouds,72.36,91,41,2.42,BR
313,Bilasipara,26.232,90.2347,clear sky,76.35,79,0,4.05,IN
314,Ballina,-28.8667,153.5667,overcast clouds,64.58,96,100,4.61,AU
315,Port Lincoln,-34.7333,135.8667,clear sky,57.38,76,1,3.69,AU
316,Abonnema,4.7084,6.7931,overcast clouds,79.09,89,100,5.12,NG
317,Krasnoselkup,65.7,82.4667,scattered clouds,7.27,92,30,15.86,RU
318,Voh,-20.9667,164.7,overcast clouds,78.46,55,96,9.19,NC
319,Mpika,-11.8343,31.4529,overcast clouds,58.08,87,99,3.51,ZM
320,Belen,36.4891,36.2233,scattered clouds,53.74,67,40,6.91,TR
321,Gold Coast,-28.0,153.4333,broken clouds,69.01,93,75,8.05,AU
322,Deputatskiy,69.3,139.9,broken clouds,12.34,79,57,3.49,RU
323,San-Pedro,4.7485,-6.6363,overcast clouds,81.01,81,100,6.33,CI
324,Chifeng,42.2683,118.9636,overcast clouds,49.39,34,100,5.68,CN
325,Cuamba,-14.8031,36.5372,scattered clouds,64.89,84,36,2.28,MZ
326,Reshetylivka,49.565,34.0782,overcast clouds,47.53,59,92,6.11,UA
327,Huangmei,30.1924,116.025,overcast clouds,67.75,84,99,7.9,CN
328,Kiruna,67.8557,20.2251,scattered clouds,29.32,64,40,11.5,SE
329,Hambantota,6.1241,81.1185,overcast clouds,80.22,85,100,12.8,LK
330,Moyale,3.5167,39.0584,overcast clouds,66.56,85,88,4.61,KE
331,Yanliang,34.6592,109.2292,clear sky,59.99,62,9,10.78,CN
332,Puerto Narino,-3.7703,-70.3831,overcast clouds,72.68,98,100,2.08,CO
333,Peniche,39.3558,-9.3811,overcast clouds,62.29,86,100,9.1,PT
334,Ruiru,-1.1606,36.9567,scattered clouds,66.67,82,40,3.44,KE
335,Dharchula,29.85,80.5333,few clouds,64.11,52,13,7.11,IN
336,Flinders,-34.5833,150.8552,clear sky,59.18,62,0,5.99,AU
337,Mouzouras,35.5333,24.15,broken clouds,59.0,88,75,0.0,GR
338,Angoche,-16.2325,39.9086,few clouds,72.36,84,19,5.53,MZ
339,Tezu,27.9167,96.1667,scattered clouds,70.11,81,35,4.45,IN
340,Kitimat,54.0524,-128.6534,overcast clouds,52.18,55,91,1.01,CA
